location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
ELIZABETH PARK,2,0,2016,Cross Road,FALSE,Right Angle,FALSE,FALSE
ENFIELD,1,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
PENNINGTON,1,0,2016,Cross Road,TRUE,Roll Over,FALSE,FALSE
SALISBURY,1,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
ONE TREE HILL,1,0,2016,T-Junction,TRUE,Head On,FALSE,FALSE
MOUNT GAMBIER,1,0,2016,Not Divided,TRUE,Hit Pedestrian,FALSE,FALSE
CASSINI,1,0,2016,T-Junction,TRUE,Hit Fixed Object,FALSE,FALSE
RENMARK,4,0,2016,Not Divided,TRUE,Right Turn,FALSE,FALSE
NARACOORTE,1,0,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
KURRALTA PARK,1,0,2016,Cross Road,TRUE,Right Turn,FALSE,FALSE
PAYNEHAM,1,0,2016,Cross Road,TRUE,Side Swipe,FALSE,FALSE
HENLEY BEACH,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
HYDE PARK,1,0,2016,Cross Road,FALSE,Hit Fixed Object,TRUE,FALSE
NORTH ADELAIDE,1,0,2016,One Way,FALSE,Hit Fixed Object,FALSE,FALSE
CAREY GULLY,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
NORTH HAVEN,1,0,2016,Divided Road,TRUE,Hit Pedestrian,FALSE,FALSE
TAYLORVILLE,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
URRBRAE,3,0,2016,Cross Road,TRUE,Rear End,FALSE,FALSE
DISMAL SWAMP,1,0,2016,Not Divided,TRUE,Side Swipe,FALSE,FALSE
TANTANOOLA,3,0,2016,Not Divided,TRUE,Right Angle,FALSE,FALSE
MONBULLA,1,0,2016,Not Divided,FALSE,Hit Animal,FALSE,FALSE
BIGGS FLAT,1,0,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
PROSPECT,1,0,2016,Not Divided,TRUE,Hit Pedestrian,FALSE,FALSE
WALKER FLAT,1,0,2016,Not Divided,FALSE,Hit Fixed Object,TRUE,TRUE
ONKAPARINGA HILLS,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
MILE END,1,0,2016,T-Junction,TRUE,Hit Pedestrian,FALSE,FALSE
ATHELSTONE,1,0,2016,Not Divided,TRUE,Hit Parked Vehicle,FALSE,TRUE
VISTA,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
WATERLOO CORNER,1,0,2016,Not Divided,FALSE,Right Turn,FALSE,FALSE
WINDSOR,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,TRUE
KIDMAN PARK,1,0,2016,Divided Road,TRUE,Hit Pedestrian,FALSE,FALSE
ONE TREE HILL,2,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
MILLBROOK,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
ADELAIDE,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
WAYVILLE,2,0,2016,Cross Road,FALSE,Rear End,TRUE,FALSE
ELIZABETH GROVE,2,0,2016,Cross Road,FALSE,Right Turn,FALSE,FALSE
PARALOWIE,1,0,2016,T-Junction,FALSE,Right Turn,FALSE,FALSE
WEST HINDMARSH,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,TRUE
ROBERTSTOWN,2,0,2016,T-Junction,FALSE,Head On,FALSE,FALSE
COROMANDEL VALLEY,1,0,2016,T-Junction,TRUE,Hit Fixed Object,FALSE,FALSE
